,compound_id,standard_inchi_key,target_id,standard_type,standard_relation,standard_value,assay_format,assaytype
0,CHEMBL1232461,AAAQFGUYHFJNHI-SFHVURJKSA-N,P25440,Kd,=,100.0,,
1,CHEMBL1232461,AAAQFGUYHFJNHI-SFHVURJKSA-N,P25440,Kd,=,230.0,,
2,CHEMBL1232461,AAAQFGUYHFJNHI-SFHVURJKSA-N,O60885,Kd,=,65.0,,
3,CHEMBL1232461,AAAQFGUYHFJNHI-SFHVURJKSA-N,O60885,Kd,=,95.0,,
4,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9Z148,Kd,=,18050.0,,binding
5,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9Y6F8,Kd,=,6300.0,,binding
6,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,9.0,,binding
7,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,22.7,,binding
8,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,90.2,,binding
9,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,149.8,,binding
10,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,1776.0,,binding
11,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,9948.0,,binding
12,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,74.0,,binding
13,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,"Q9Y478, P54619, Q13131",Kd,=,487.0,,binding
14,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9Y232,Kd,=,910.0,,binding
15,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9UQB9,Kd,=,10.8,cell_based,binding
16,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9UIK4,Kd,=,450.0,cell_based,binding
17,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9UBF8,Kd,=,3.7,,binding
18,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9UBF8,Kd,=,6.1,,binding
19,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9UBF8,Kd,=,21.0,,binding
20,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9S446,Kd,=,1500.0,,binding
21,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9S446,Kd,=,8800.0,,binding
22,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9HCN6,Kd,=,52000.0,,binding
23,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9HCN6,Kd,=,57000.0,,binding
24,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9HCN6,Kd,=,850000.0,,binding
25,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9HC52,Kd,=,1200.0,,binding
26,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9FBI2,Kd,=,716.0,,binding
27,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,5020.0,,binding
28,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,8630.0,,binding
29,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,17000.0,,binding
30,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,17400.0,,binding
31,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,20400.0,,binding
32,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,31300.0,,binding
33,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,38900.0,,binding
34,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,84800.0,,binding
35,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,97000.0,,binding
36,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,102000.0,,binding
37,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,109000.0,,binding
38,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,123.0,,binding
39,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,445.0,,binding
40,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9ESU6,Kd,=,1700.0,,binding
41,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,12200.0,,binding
42,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,12300.0,,binding
43,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,14100.0,,binding
44,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,15600.0,,binding
45,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,20900.0,,binding
46,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,22900.0,,binding
47,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,28800.0,,binding
48,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,33500.0,,binding
49,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,238700.0,,binding
50,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q9AH50,Kd,=,239000.0,,binding
51,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,256.0,,binding
52,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,264.0,,binding
53,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,264.0,,binding
54,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,291.0,,binding
55,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,380.0,,binding
56,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,496.0,,binding
57,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,496.0,,binding
58,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q99714,Kd,=,954.0,,binding
59,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q96LA8,Kd,=,87.0,,binding
60,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q96GD4,Kd,=,48.0,,binding
61,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q96GD4,Kd,=,10.1,cell_based,binding
62,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,73000.0,,binding
63,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,104000.0,,binding
64,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,166000.0,,binding
65,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,250000.0,,binding
66,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,360000.0,,binding
67,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,459000.0,,binding
68,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,660000.0,,binding
69,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92831,Kd,=,1080000.0,,binding
70,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,1530.0,,binding
71,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,3650.0,,binding
72,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,7080.0,,binding
73,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,26700.0,,binding
74,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,37700.0,,binding
75,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,50300.0,,binding
76,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,103000.0,,binding
77,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,120700.0,,binding
78,,ABZSPJVXTTUFAA-UHFFFAOYSA-N,Q92793,Kd,=,310000.0,,binding
